Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Gender,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,2020 pop,2021 pop,Total Sales/cap,Units sold/cap
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,M,$50.00 ,"1,200","$600,000 ","$300,000 ",50%,In-store,20104710,19854526,0.03021981,
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$50.00 ,"1,000","$500,000 ","$150,000 ",30%,In-store,20104710,19854526,0.025183175,
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,F,$40.00 ,"1,000","$400,000 ","$140,000 ",35%,In-store,20104710,19854526,0.02014654,
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$45.00 ,850,"$382,500 ","$133,875 ",35%,In-store,20104710,19854526,0.019265129,
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,900,"$540,000 ","$162,000 ",30%,In-store,20104710,19854526,0.027197829,
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,F,$50.00 ,"1,000","$500,000 ","$125,000 ",25%,In-store,20104710,19854526,0.025183175,
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,M,$50.00 ,"1,250","$625,000 ","$312,500 ",50%,In-store,20104710,19854526,0.031478969,
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$50.00 ,900,"$450,000 ","$135,000 ",30%,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,F,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet,20104710,19854526,0.019139213,
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$45.00 ,825,"$371,250 ","$129,938 ",35%,Outlet,20104710,19854526,0.018698507,
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet,20104710,19854526,0.027197829,
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,F,$50.00 ,"1,000","$500,000 ","$125,000 ",25%,Outlet,20104710,19854526,0.025183175,
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,M,$50.00 ,"1,220","$610,000 ","$305,000 ",50%,Outlet,20104710,19854526,0.030723473,
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$50.00 ,925,"$462,500 ","$138,750 ",30%,Outlet,20104710,19854526,0.023294437,
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,F,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet,20104710,19854526,0.019139213,
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$45.00 ,800,"$360,000 ","$126,000 ",35%,Outlet,20104710,19854526,0.018131886,
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,850,"$510,000 ","$153,000 ",30%,Outlet,20104710,19854526,0.025686838,
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,F,$50.00 ,950,"$475,000 ","$118,750 ",25%,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,M,$50.00 ,"1,200","$600,000 ","$300,000 ",50%,Outlet,20104710,19854526,0.03021981,
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$50.00 ,900,"$450,000 ","$135,000 ",30%,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,F,$40.00 ,900,"$360,000 ","$126,000 ",35%,Outlet,20104710,19854526,0.018131886,
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$45.00 ,825,"$371,250 ","$129,938 ",35%,Outlet,20104710,19854526,0.018698507,
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,825,"$495,000 ","$148,500 ",30%,Outlet,20104710,19854526,0.024931343,
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,F,$50.00 ,950,"$475,000 ","$118,750 ",25%,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,M,$60.00 ,"1,220","$732,000 ","$366,000 ",50%,Outlet,20104710,19854526,0.036868168,
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$55.00 ,925,"$508,750 ","$152,625 ",30%,Outlet,20104710,19854526,0.02562388,
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,F,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$50.00 ,850,"$425,000 ","$148,750 ",35%,Outlet,20104710,19854526,0.021405699,
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,875,"$525,000 ","$157,500 ",30%,Outlet,20104710,19854526,0.026442334,
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,F,$65.00 ,"1,000","$650,000 ","$162,500 ",25%,Outlet,20104710,19854526,0.032738127,
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,M,$60.00 ,"1,250","$750,000 ","$375,000 ",50%,Outlet,20104710,19854526,0.037774762,
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet,20104710,19854526,0.027701492,
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,F,$50.00 ,925,"$462,500 ","$161,875 ",35%,Outlet,20104710,19854526,0.023294437,
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet,20104710,19854526,0.027197829,
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,F,$65.00 ,"1,050","$682,500 ","$170,625 ",25%,Outlet,20104710,19854526,0.034375034,
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,M,$60.00 ,"1,275","$765,000 ","$382,500 ",50%,Outlet,20104710,19854526,0.038530258,
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,M,$55.00 ,"1,025","$563,750 ","$169,125 ",30%,Outlet,20104710,19854526,0.02839403,
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,F,$50.00 ,950,"$475,000 ","$166,250 ",35%,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,F,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,M,$60.00 ,925,"$555,000 ","$166,500 ",30%,Outlet,20104710,19854526,0.027953324,
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,F,$65.00 ,"1,100","$715,000 ","$178,750 ",25%,Outlet,20104710,19854526,0.03601194,
