Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Gender,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,2020 pop,2021 pop,Total Sales/cap,Units sold/cap
Foot Locker,1185732,43831,Northeast,New York,New York,Men's Street Footwear,M,50,1200,600000,300000,0.5,In-store,20104710,19854526,0.03021981,
Foot Locker,1185732,43832,Northeast,New York,New York,Men's Athletic Footwear,M,50,1000,500000,150000,0.3,In-store,20104710,19854526,0.025183175,
Foot Locker,1185732,43833,Northeast,New York,New York,Women's Street Footwear,F,40,1000,400000,140000,0.35,In-store,20104710,19854526,0.02014654,
Foot Locker,1185732,43834,Northeast,New York,New York,Women's Athletic Footwear,F,45,850,382500,133875,0.35,In-store,20104710,19854526,0.019265129,
Foot Locker,1185732,43835,Northeast,New York,New York,Men's Apparel,M,60,900,540000,162000,0.3,In-store,20104710,19854526,0.027197829,
Foot Locker,1185732,43836,Northeast,New York,New York,Women's Apparel,F,50,1000,500000,125000,0.25,In-store,20104710,19854526,0.025183175,
Foot Locker,1185732,43837,Northeast,New York,New York,Men's Street Footwear,M,50,1250,625000,312500,0.5,In-store,20104710,19854526,0.031478969,
Foot Locker,1185732,43838,Northeast,New York,New York,Men's Athletic Footwear,M,50,900,450000,135000,0.3,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,43851,Northeast,New York,New York,Women's Street Footwear,F,40,950,380000,133000,0.35,Outlet,20104710,19854526,0.019139213,
Foot Locker,1185732,43852,Northeast,New York,New York,Women's Athletic Footwear,F,45,825,371250,129938,0.35,Outlet,20104710,19854526,0.018698507,
Foot Locker,1185732,43853,Northeast,New York,New York,Men's Apparel,M,60,900,540000,162000,0.3,Outlet,20104710,19854526,0.027197829,
Foot Locker,1185732,43854,Northeast,New York,New York,Women's Apparel,F,50,1000,500000,125000,0.25,Outlet,20104710,19854526,0.025183175,
Foot Locker,1185732,43855,Northeast,New York,New York,Men's Street Footwear,M,50,1220,610000,305000,0.5,Outlet,20104710,19854526,0.030723473,
Foot Locker,1185732,43856,Northeast,New York,New York,Men's Athletic Footwear,M,50,925,462500,138750,0.3,Outlet,20104710,19854526,0.023294437,
Foot Locker,1185732,43857,Northeast,New York,New York,Women's Street Footwear,F,40,950,380000,133000,0.35,Outlet,20104710,19854526,0.019139213,
Foot Locker,1185732,43858,Northeast,New York,New York,Women's Athletic Footwear,F,45,800,360000,126000,0.35,Outlet,20104710,19854526,0.018131886,
Foot Locker,1185732,43859,Northeast,New York,New York,Men's Apparel,M,60,850,510000,153000,0.3,Outlet,20104710,19854526,0.025686838,
Foot Locker,1185732,43860,Northeast,New York,New York,Women's Apparel,F,50,950,475000,118750,0.25,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,43861,Northeast,New York,New York,Men's Street Footwear,M,50,1200,600000,300000,0.5,Outlet,20104710,19854526,0.03021981,
Foot Locker,1185732,43862,Northeast,New York,New York,Men's Athletic Footwear,M,50,900,450000,135000,0.3,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,43863,Northeast,New York,New York,Women's Street Footwear,F,40,900,360000,126000,0.35,Outlet,20104710,19854526,0.018131886,
Foot Locker,1185732,43864,Northeast,New York,New York,Women's Athletic Footwear,F,45,825,371250,129938,0.35,Outlet,20104710,19854526,0.018698507,
Foot Locker,1185732,43865,Northeast,New York,New York,Men's Apparel,M,60,825,495000,148500,0.3,Outlet,20104710,19854526,0.024931343,
Foot Locker,1185732,43866,Northeast,New York,New York,Women's Apparel,F,50,950,475000,118750,0.25,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,43867,Northeast,New York,New York,Men's Street Footwear,M,60,1220,732000,366000,0.5,Outlet,20104710,19854526,0.036868168,
Foot Locker,1185732,43868,Northeast,New York,New York,Men's Athletic Footwear,M,55,925,508750,152625,0.3,Outlet,20104710,19854526,0.02562388,
Foot Locker,1185732,43869,Northeast,New York,New York,Women's Street Footwear,F,50,900,450000,157500,0.35,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,43870,Northeast,New York,New York,Women's Athletic Footwear,F,50,850,425000,148750,0.35,Outlet,20104710,19854526,0.021405699,
Foot Locker,1185732,43871,Northeast,New York,New York,Men's Apparel,M,60,875,525000,157500,0.3,Outlet,20104710,19854526,0.026442334,
Foot Locker,1185732,43893,Northeast,New York,New York,Women's Apparel,F,65,1000,650000,162500,0.25,Outlet,20104710,19854526,0.032738127,
Foot Locker,1185732,43894,Northeast,New York,New York,Men's Street Footwear,M,60,1250,750000,375000,0.5,Outlet,20104710,19854526,0.037774762,
Foot Locker,1185732,43895,Northeast,New York,New York,Men's Athletic Footwear,M,55,1000,550000,165000,0.3,Outlet,20104710,19854526,0.027701492,
Foot Locker,1185732,43896,Northeast,New York,New York,Women's Street Footwear,F,50,925,462500,161875,0.35,Outlet,20104710,19854526,0.023294437,
Foot Locker,1185732,43897,Northeast,New York,New York,Women's Athletic Footwear,F,50,900,450000,157500,0.35,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,43898,Northeast,New York,New York,Men's Apparel,M,60,900,540000,162000,0.3,Outlet,20104710,19854526,0.027197829,
Foot Locker,1185732,43899,Northeast,New York,New York,Women's Apparel,F,65,1050,682500,170625,0.25,Outlet,20104710,19854526,0.034375034,
Foot Locker,1185732,43900,Northeast,New York,New York,Men's Street Footwear,M,60,1275,765000,382500,0.5,Outlet,20104710,19854526,0.038530258,
Foot Locker,1185732,43901,Northeast,New York,New York,Men's Athletic Footwear,M,55,1025,563750,169125,0.3,Outlet,20104710,19854526,0.02839403,
Foot Locker,1185732,43902,Northeast,New York,New York,Women's Street Footwear,F,50,950,475000,166250,0.35,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,43903,Northeast,New York,New York,Women's Athletic Footwear,F,50,900,450000,157500,0.35,Outlet,20104710,19854526,0.022664857,
Foot Locker,1185732,43904,Northeast,New York,New York,Men's Apparel,M,60,925,555000,166500,0.3,Outlet,20104710,19854526,0.027953324,
Foot Locker,1185732,43905,Northeast,New York,New York,Women's Apparel,F,65,1100,715000,178750,0.25,Outlet,20104710,19854526,0.03601194,
Foot Locker,1185732,43906,Northeast,New York,New York,Men's Street Footwear,M,60,1250,750000,375000,0.5,Outlet,20104710,19854526,0.037774762,
Foot Locker,1185732,43907,Northeast,New York,New York,Men's Athletic Footwear,M,55,1025,563750,169125,0.3,Outlet,20104710,19854526,0.02839403,
Foot Locker,1185732,43908,Northeast,New York,New York,Women's Street Footwear,F,50,950,475000,166250,0.35,Outlet,20104710,19854526,0.023924016,
Foot Locker,1185732,43921,Northeast,New York,New York,Women's Athletic Footwear,F,50,925,462500,161875,0.35,Outlet,20104710,19854526,0.023294437,
Walmart,1185732,43938,Northeast,New York,New York,Men's Apparel,M,60,900,540000,162000,0.3,Outlet,20104710,19854526,0.027197829,
Walmart,1185732,43939,Northeast,New York,New York,Women's Apparel,F,65,1075,698750,174688,0.25,Outlet,20104710,19854526,0.035193487,
Walmart,1185732,43940,Northeast,New York,New York,Men's Street Footwear,M,60,1200,720000,360000,0.5,Outlet,20104710,19854526,0.036263772,
Walmart,1185732,43941,Northeast,New York,New York,Men's Athletic Footwear,M,55,1000,550000,165000,0.3,Outlet,20104710,19854526,0.027701492,
Walmart,1185732,43942,Northeast,New York,New York,Women's Street Footwear,F,50,925,462500,161875,0.35,Outlet,20104710,19854526,0.023294437,
Walmart,1185732,43943,Northeast,New York,New York,Women's Athletic Footwear,F,50,900,450000,157500,0.35,Outlet,20104710,19854526,0.022664857,
Walmart,1185732,43944,Northeast,New York,New York,Men's Apparel,M,60,900,540000,162000,0.3,Outlet,20104710,19854526,0.027197829,
Walmart,1185732,43945,Northeast,New York,New York,Women's Apparel,F,65,1000,650000,162500,0.25,Outlet,20104710,19854526,0.032738127,
Walmart,1185732,43946,Northeast,New York,New York,Men's Apparel,M,65,875,568750,170625,0.3,Outlet,20104710,19854526,0.028645861,
Walmart,1185732,43947,Northeast,New York,New York,Women's Apparel,F,70,1000,700000,175000,0.25,Outlet,20104710,19854526,0.035256445,
Walmart,1185732,43948,Northeast,New York,New York,Men's Street Footwear,M,65,1150,747500,373750,0.5,Outlet,20104710,19854526,0.037648846,
Walmart,1185732,43949,Northeast,New York,New York,Men's Athletic Footwear,M,55,975,536250,160875,0.3,Outlet,20104710,19854526,0.027008955,
Walmart,1185732,43950,Northeast,New York,New York,Women's Street Footwear,F,55,920,506000,177100,0.35,Outlet,20104710,19854526,0.025485373,
Walmart,1185732,43951,Northeast,New York,New York,Women's Athletic Footwear,F,55,900,495000,173250,0.35,Outlet,20104710,19854526,0.024931343,
Walmart,1185732,43952,Northeast,New York,New York,Men's Apparel,M,65,875,568750,170625,0.3,Outlet,20104710,19854526,0.028645861,
Walmart,1185732,43953,Northeast,New York,New York,Women's Apparel,F,70,975,682500,170625,0.25,Outlet,20104710,19854526,0.034375034,
Walmart,1185732,43954,Northeast,New York,New York,Men's Street Footwear,M,65,1200,780000,390000,0.5,Outlet,20104710,19854526,0.039285753,
Walmart,1185732,43955,Northeast,New York,New York,Men's Athletic Footwear,M,55,1000,550000,165000,0.3,Outlet,20104710,19854526,0.027701492,
Walmart,1185732,43956,Northeast,New York,New York,Women's Street Footwear,F,55,950,522500,182875,0.35,Outlet,20104710,19854526,0.026316418,
Walmart,1185732,43957,Northeast,New York,New York,Women's Athletic Footwear,F,55,900,495000,173250,0.35,Outlet,20104710,19854526,0.024931343,
Walmart,1185732,43958,Northeast,New York,New York,Men's Apparel,M,65,900,585000,175500,0.3,Outlet,20104710,19854526,0.029464315,
Walmart,1185732,44030,Northeast,New York,New York,Women's Apparel,F,70,1000,700000,175000,0.25,Outlet,20104710,19854526,0.035256445,
Sports Direct,1197831,44031,Northeast,New York,New York,Men's Street Footwear,M,25,900,225000,78750,0.35,Outlet,20104710,19854526,0.011332429,
Sports Direct,1197831,44032,Northeast,New York,New York,Men's Athletic Footwear,M,35,900,315000,110250,0.35,Outlet,20104710,19854526,0.0158654,
Sports Direct,1197831,44033,Northeast,New York,New York,Women's Street Footwear,F,35,700,245000,85750,0.35,Outlet,20104710,19854526,0.012339756,
Sports Direct,1197831,44034,Northeast,New York,New York,Women's Athletic Footwear,F,35,700,245000,110250,0.45,Outlet,20104710,19854526,0.012339756,
Sports Direct,1197831,44035,South,Texas,Houston,Men's Apparel,M,40,550,220000,66000,0.3,Outlet,29234361,29561286,0.007442166,
Sports Direct,1197831,44036,South,Texas,Houston,Women's Apparel,F,35,700,245000,122500,0.5,Outlet,29234361,29561286,0.008287867,
Sports Direct,1197831,44037,South,Texas,Houston,Men's Street Footwear,M,25,850,212500,74375,0.35,Outlet,29234361,29561286,0.007188456,
Sports Direct,1197831,44038,South,Texas,Houston,Men's Athletic Footwear,M,35,850,297500,104125,0.35,Outlet,29234361,29561286,0.010063838,
Sports Direct,1197831,44039,South,Texas,Houston,Women's Street Footwear,F,35,675,236250,82688,0.35,Outlet,29234361,29561286,0.007991872,
Sports Direct,1197831,44040,South,Texas,Houston,Women's Athletic Footwear,F,35,625,218750,98438,0.45,Outlet,29234361,29561286,0.007399881,
Sports Direct,1197831,44041,South,Texas,Houston,Men's Apparel,M,40,500,200000,60000,0.3,Outlet,29234361,29561286,0.006765606,
Sports Direct,1197831,44042,South,Texas,Houston,Women's Apparel,F,35,700,245000,122500,0.5,Outlet,29234361,29561286,0.008287867,
Sports Direct,1197831,44043,South,Texas,Houston,Men's Street Footwear,M,30,875,262500,91875,0.35,Outlet,29234361,29561286,0.008879857,
Sports Direct,1197831,44044,South,Texas,Houston,Men's Athletic Footwear,M,40,875,350000,122500,0.35,Outlet,29234361,29561286,0.01183981,
Sports Direct,1197831,44045,South,Texas,Houston,Women's Street Footwear,F,35,700,245000,85750,0.35,Outlet,29234361,29561286,0.008287867,
Sports Direct,1197831,44046,South,Texas,Houston,Women's Athletic Footwear,F,40,600,240000,108000,0.45,Outlet,29234361,29561286,0.008118727,
Sports Direct,1197831,44047,South,Texas,Houston,Men's Apparel,M,45,500,225000,67500,0.3,Outlet,29234361,29561286,0.007611306,
Sports Direct,1197831,44048,South,Texas,Houston,Women's Apparel,F,40,650,260000,130000,0.5,Outlet,29234361,29561286,0.008795287,
Sports Direct,1197831,44049,South,Texas,Houston,Men's Street Footwear,M,30,900,270000,94500,0.35,Outlet,29234361,29561286,0.009133567,
Sports Direct,1197831,44050,South,Texas,Houston,Men's Athletic Footwear,M,40,900,360000,126000,0.35,Outlet,29234361,29561286,0.01217809,
Sports Direct,1197831,44051,South,Texas,Houston,Women's Street Footwear,F,35,725,253750,88813,0.35,Outlet,29234361,29561286,0.008583862,
Sports Direct,1197831,44052,South,Texas,Houston,Women's Athletic Footwear,F,40,625,250000,112500,0.45,Outlet,29234361,29561286,0.008457007,
Walmart,1197831,44053,South,Texas,Houston,Men's Apparel,M,45,525,236250,70875,0.3,Outlet,29234361,29561286,0.007991872,
Walmart,1197831,44054,South,Texas,Houston,Women's Apparel,F,40,800,320000,160000,0.5,Outlet,29234361,29561286,0.010824969,
Walmart,1197831,44055,South,Texas,Houston,Men's Street Footwear,M,30,925,277500,97125,0.35,Outlet,29234361,29561286,0.009387278,
